"Address","Errors","Warnings","Rich Result Errors","Rich Result Warnings","Rich Result Features","Feature-1","Total Types","Unique Types","Type-1","Indexability","Indexability Status"
"https://magicworksitsolutions.com/","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/services","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/insights/reports","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/careers","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/industries/manufacturing","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/services/ai-consultation","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/group/magicflow-ai","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/industries/professional-services","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/services/digital-marketing","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/industries/real-estate","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/industries/education","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/blog","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/privacy","0","0","0","0","0","","0","0","","Non-Indexable","noindex"
"https://magicworksitsolutions.com/work","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/about","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/terms","0","0","0","0","0","","0","0","","Non-Indexable","noindex"
"https://magicworksitsolutions.com/group/magic-pipeline","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/group/magicworks-host","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/contact","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/services/web-development","0","0","0","0","0","","0","0","","Indexable",""
"https://magicworksitsolutions.com/insights/whitepapers","0","0","0","0","0","","0","0","","Indexable",""
